Route,Avg_Boardings,Avg_Percent_Low_Income,Avg_Percent_Zero_Vehicle,Total_Population_Served,Stops_In_Disadvantaged_Tracts,Total_Scheduled_Trips,Current_Average,Forecasted_Boardings,Forecast_Date,Demand_Score,Need_Score,Service_Score,Underserved_Score,Is_Underserved_Future
20,1090.985447589291,0.291041312084171,0.121479613282892,45304,7,58,863.6667,1090.985447589291,2026-08-01,0.13305167492481368,0.3201132933091181,0.18064133016627082,0.23577998346930343,0
201,0.0,0.408586930879925,0.253176470588235,8478,2,3,4.666667,-305.2731410261303,2026-08-01,0.0,0.9999999999999999,0.05,0.0,1
202,12.811233325085894,0.37620503062918464,0.18503818369453026,16298,3,3,0.0,12.811233325085894,2026-08-01,0.0015624003560466924,0.6621755594726839,0.05,0.020691666597710778,1
203,0.0,0.303638644918444,0.154244306418219,7970,2,6,0.0,-11.834739178781515,2026-08-01,0.0,0.43473359358020647,0.05712589073634205,0.0,0
21,1922.5970318866541,0.291041312084171,0.121479613282892,51776,8,118,1433.143,1922.5970318866541,2026-08-01,0.23447128086193705,0.3201132933091181,0.3231591448931116,0.23226133343046168,0
22,8199.712241170937,0.40302893928238387,0.09687183561545537,184260,41,424,7620.381,8199.712241170937,2026-08-01,1.0,0.3569246367986114,1.05,0.339928225522487,0
23,4618.10301666236,0.4103449992852498,0.15506763107061153,164666,38,397,4824.333,4618.10301666236,2026-08-01,0.5632030589408689,0.6024530143394845,0.9858669833729217,0.3441675056236236,1
25,5204.187764830611,0.39016925225490434,0.07851682966142416,259622,48,401,5334.238,5204.187764830611,2026-08-01,0.6346793170009392,0.2729755278649083,0.9953681710213778,0.17405812906945956,0
26,2477.014674324168,0.45336355776127024,0.1271578072247842,83767,18,295,2627.905,2477.014674324168,2026-08-01,0.30208556123311525,0.5427160656960416,0.7435866983372922,0.2204809306871846,0
27,1341.7279626025686,0.31388964346027265,0.11103269393171702,39579,9,128,1200.143,1341.7279626025686,2026-08-01,0.16363110352406304,0.31508498098528603,0.34691211401425176,0.1486189183360795,0
31,22.400208804879924,0.304224392459687,0.0108374384236453,61796,7,82,306.5238,22.400208804879924,2026-08-01,0.002731828647889371,0.0,0.23764845605700713,0.0,0
39,91.88191476541321,0.304224392459687,0.0108374384236453,17656,2,67,227.6667,91.88191476541321,2026-08-01,0.011205504786384098,0.0,0.2020190023752969,0.0,0
42,138.09520972351382,0.4588528199785002,0.07922152054259486,58021,10,26,269.5714,138.09520972351382,2026-08-01,0.016841470244545253,0.33005294460352974,0.10463182897862233,0.05312510447275637,0
55,413.5184945173836,0.313717848791894,0.0301134141572155,31328,4,162,951.2857,413.5184945173836,2026-08-01,0.05043085444402525,0.061410391995761635,0.42767220902612824,0.00724147717510347,0
56,2144.1427477954794,0.4541220929671565,0.1178989723914076,121904,24,172,1762.619,2144.1427477954794,2026-08-01,0.2614899992501799,0.5016947288180303,0.4514251781472684,0.29060885527224284,0
57,2206.1122641728493,0.291041312084171,0.12147961328289199,38832,6,230,1977.286,2206.1122641728493,2026-08-01,0.26904752255767106,0.3201132933091181,0.5891923990498813,0.14617583091954295,0
59,1179.85351391359,0.29093710066688994,0.11997498183804842,135005,21,114,948.8571,1179.85351391359,2026-08-01,0.14388962431992666,0.3156158041540319,0.31365795724465556,0.14478778057504232,0
60,3576.149965161751,0.3195603960629614,0.12222032508655764,79871,17,335,3150.572,3576.149965161751,2026-08-01,0.43613115436000577,0.3570706446860751,0.8385985748218527,0.18570223838991345,0
61,2768.799286865445,0.3042880445670328,0.08199546007577027,93795,15,259,2833.381,2768.799286865445,2026-08-01,0.3376702993262669,0.21621315494149781,0.6580760095011877,0.11094274778792147,0
66,5856.771743240989,0.4197397191938857,0.11911972686331426,303671,57,325,5453.857,5856.771743240989,2026-08-01,0.7142655218842935,0.46633444096405363,0.8148456057007126,0.4087726687332109,1
68,4772.296127806566,0.4248842184102751,0.10887218502254759,292164,52,325,4491.857,4772.296127806566,2026-08-01,0.5820077567898982,0.42897749917985484,0.8148456057007126,0.3063994335421491,0
70,2981.2720520208577,0.39818460752515833,0.08756201980859982,227733,45,322,3252.095,2981.2720520208577,2026-08-01,0.36358252147579334,0.315223134901626,0.8077197149643706,0.14189281268204887,0
71,1188.6256855620056,0.33494213360240727,0.052615902812913264,90448,15,248,1675.667,1188.6256855620056,2026-08-01,0.14495943889273208,0.14305157510181085,0.6319477434679336,0.03281390949461037,0
72,1555.039130715474,0.4553500987961688,0.10728780270069119,186736,41,268,2175.428,1555.039130715474,2026-08-01,0.18964557352483516,0.45489363431376284,0.6794536817102138,0.12696754244540784,0
73,1526.3441773798947,0.4637698046602071,0.1457198989512508,226406,46,267,2140.857,1526.3441773798947,2026-08-01,0.1861460661651133,0.6418874365631613,0.6770783847980998,0.17647117958531605,0
77,1606.3790908860194,0.40800417775237857,0.07736620928279908,128540,26,269,2004.048,1606.3790908860194,2026-08-01,0.19590676399841866,0.28227064861507034,0.6818289786223278,0.08110351873522186,0
83,154.00007220156044,0.325156576200418,0.13599348534202,7694,2,30,119.7619,154.00007220156044,2026-08-01,0.018781155688406072,0.40861857408392577,0.11413301662707839,0.06724021920948633,0
84,112.42910133260264,0.471950133570793,0.0944087992667278,22815,5,57,83.2381,112.42910133260264,2026-08-01,0.013711347182172276,0.4119843002598438,0.1782660332541568,0.03168780766223341,0
85,96.43934784124853,0.3699839870739068,0.06353352425995785,223593,31,64,109.2857,96.43934784124853,2026-08-01,0.011761308812402517,0.2017959165612903,0.1948931116389549,0.012177875717618534,0
86,136.55909103240796,0.4586256396230176,0.0914266210033404,26259,5,54,101.1905,136.55909103240796,2026-08-01,0.01665413212267886,0.385766464702368,0.17114014251781473,0.03754002758869504,0
